web-scraper-order,web-scraper-start-url,pdf,pdf-href
"1774857677-94","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000119312514303175/d766922d10q.htm"
"1774857677-95","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q1_14_Shareholder_Letter_final"
"1774857677-96","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000119312514192606/d715897d10q.htm"
"1774857677-97","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q4_13_Shareholder_Letter"
"1774857677-98","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000119312514069681/d668062d10k.htm"
"1774857677-99","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Tesla_Q3_13_Shareholder_Letter_final"
"1774857677-100","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000119312513435480/d588506d10q.htm"
"1774857677-101","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q2_13_Tesla_Motors_Shareholder_Letter"
"1774857677-102","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000119312513327916/d549636d10q.htm"
"1774857677-103","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q1_13_Shareholder_Letter"
"1774857677-104","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000119312513096241/d452995d10k.htm"
"1774857677-105","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q4_12_SHL_022013_final"
"1774857677-106","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000119312513096241/d452995d10k.htm"
"1774857677-107","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q3_2012_Shareholder_Letter_Final"
"1774857677-108","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000119312512457610/d410318d10q.htm"
