stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
3065,0,0 days 03:07:16.573102594,MLCO,1,N,A
5867,0,0 days 03:07:16.573116718,UBSS,1,N,A
7796,0,0 days 03:07:16.573131259,NITE,1,N,A
201,0,0 days 03:07:16.573145342,RBCD,1,N,A
1997,0,0 days 03:07:16.573159008,SOHO,1,N,A
4628,0,0 days 03:07:16.573172936,SSUS,1,N,A
7997,0,0 days 03:07:16.573186782,STFL,1,N,A
2593,0,0 days 03:07:16.573201025,TSSM,1,N,A
2104,0,0 days 03:07:16.573214355,BMOC,1,N,A
3147,0,0 days 03:07:16.573228567,ETMM,1,N,A
1348,0,0 days 03:07:16.573241984,HOVD,1,N,A
8681,0,0 days 03:07:16.573255982,IMCC,1,N,A
5768,0,0 days 03:07:16.573270065,KBWI,1,N,A
181,0,0 days 03:07:16.573285154,MLCO,1,N,A
996,0,0 days 03:07:16.573299271,WCHV,1,N,A
1558,0,0 days 03:07:16.573314774,MSCO,1,N,A
7403,0,0 days 03:07:16.573328674,RAJA,1,N,A
8197,0,0 days 03:07:16.573342764,SBSH,1,N,A
4043,0,0 days 03:07:16.573356804,SOHO,1,N,A
2518,0,0 days 03:07:16.573371487,VALX,1,N,A
1320,0,0 days 03:07:16.573385380,VALX,1,N,A
7077,0,0 days 03:07:16.573399065,ADAM,1,N,A
3229,0,0 days 03:07:16.573412546,CANT,1,N,A
78,0,0 days 03:07:16.573426499,CDRG,1,N,A
8449,0,0 days 03:07:16.573440605,CDRG,1,N,A
1157,0,0 days 03:07:16.573453974,KBWI,1,N,A
5007,0,0 days 03:07:16.573468123,MZHO,1,N,A
6796,0,0 days 03:07:16.573482692,SOHO,1,N,A
5491,0,0 days 03:07:16.573496176,UBSS,1,N,A
2331,0,0 days 03:07:16.573511036,WBLR,1,N,A
3486,0,0 days 03:07:16.573524908,UBSS,1,N,A
6744,0,0 days 03:07:16.573540274,XGWD,1,N,A
6819,0,0 days 03:07:16.573553823,CSTI,1,N,A
6681,0,0 days 03:07:16.573567169,CSTI,1,N,A
6838,0,0 days 03:07:16.573580709,JSSF,1,N,A
2078,0,0 days 03:07:16.573594631,MZHO,1,N,A
2491,0,0 days 03:07:16.573608550,RBCD,1,N,A
1930,0,0 days 03:07:16.573622703,TSSM,1,N,A
758,0,0 days 03:07:16.573636413,SSUS,1,N,A
8550,0,0 days 03:07:16.573657440,UBSS,1,N,A
8022,0,0 days 03:07:16.573671631,WCHV,1,N,A
2506,0,0 days 03:07:16.573685657,IMCC,1,N,A
5393,0,0 days 03:07:16.573700297,MSCO,1,N,A
8304,0,0 days 03:07:16.573714683,NORT,1,N,A
5410,0,0 days 03:07:16.573728466,PIPR,1,N,A
