date,SPDR S&P 500 ETF TRUST_original,CITIGROUP INC_original,SPDR S&P 500 ETF TRUST_smoothed,CITIGROUP INC_smoothed,Estimated_SPDR S&P 500 ETF TRUST_original,Estimated_SPDR S&P 500 ETF TRUST_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-05-02,209.414,50.4813,208.39416894766538,50.11632641603954,209.90889452407,208.42022370099394,-0.4948945240700242,-0.026054753328570435,-0.625122727025906,-4.078845397307895,-4.003476368950975,
2017-05-03,209.137,50.9276,208.5427351581323,50.27858113283163,211.36964322130342,208.7269786425655,-2.232643221303432,-0.1842434844332228,-1.675562971379175,-4.071783907096154,-4.003461114273376,
2017-05-04,209.405,50.9012,208.71518812650584,50.403104906265305,210.91679792346963,208.89204157603652,-1.5117979234696337,-0.17685344953068682,-1.5122244405224776,-4.064999581207614,-4.003441240504633,
2017-05-05,210.237,50.9276,209.01955050120466,50.50800392501225,210.8252671278893,209.12124741400788,-0.5882671278893117,-0.1016969128032219,-0.9934804882443738,-4.0610954569371325,-4.003422135177802,
2017-05-08,210.2,51.1479,209.25564040096373,50.6359831400098,211.46277204258692,209.3864023757872,-1.262772042586926,-0.1307619748234803,-1.105731513824787,-4.056068141298298,-4.003404358275697,
2017-05-09,210.005,50.9198,209.40551232077098,50.69274651200784,210.39742905173426,209.47710947069422,-0.3924290517342648,-0.07159714992323174,-0.6622062509936887,-4.05331619953714,-4.003378834542982,
2017-05-10,210.38,51.0373,209.60040985661678,50.76165720960627,210.76995312727146,209.65324591153666,-0.3899531272714558,-0.05283605491986698,-0.4840944169135589,-4.051283961171939,-4.003358215750824,
2017-05-11,209.95,51.3172,209.67032788529343,50.87276576768502,211.61465036656313,209.81662588134853,-1.6646503665631425,-0.14629799605510208,-0.9895211127767648,-4.04564804976651,-4.0033202670851775,
2017-05-12,209.587,51.6295,209.65366230823474,51.02411261414802,212.35780706323354,209.9147233493628,-2.770807063233555,-0.26106104112805184,-1.5494077996770692,-4.035570893887252,-4.003299597281661,
2017-05-15,210.727,51.9281,209.86832984658778,51.20491009131841,213.03987224569408,210.12867147710983,-2.312872245694088,-0.2603416305220563,-1.3740944271018527,-4.02549971126052,-4.003320689386705,
2017-05-16,210.523,52.8306,209.99926387727024,51.53004807305473,215.68943726062753,210.47828310898734,-5.1664372606275295,-0.4790192317171007,-2.2106485975707413,-4.006878959366219,-4.003617709934585,
2017-05-17,206.802,50.7113,209.35981110181618,51.36629845844379,206.89418307369644,209.51476454447956,-0.09218307369644574,-0.15495344266338318,-0.404358541206857,-4.000897157848847,-4.003487032876193,
2017-05-18,207.654,50.7935,209.01864888145295,51.25173876675503,207.19819517088655,209.03133719227765,0.4558048291134451,-0.012688310824701787,0.5339510496428197,-4.000407984624031,-4.003472203885822,
2017-05-19,208.973,51.6559,209.00951910516235,51.33257101340403,210.41713907916824,209.12513671545648,-1.4441390791682247,-0.11561761029412398,0.01629270265446383,-3.9959373185622207,-4.003400545250003,
2017-05-22,210.075,51.6217,209.2226152841299,51.390396810723225,210.191184213931,209.26731116738125,-0.11618421393099876,-0.04469588325135643,0.6187002965287863,-3.9942079892562177,-4.003377654943299,
2017-05-23,210.515,52.1718,209.48109222730392,51.54667744857858,212.11146318864877,209.6179117015081,-1.5964631886487775,-0.1368194742041675,-0.13193817866975943,-3.9889002267967437,-4.003358336254416,
2017-05-24,211.005,52.6437,209.78587378184312,51.76608195886286,213.51323368990452,210.02051555514416,-2.5082336899045226,-0.2346417733010293,-0.8791210437512891,-3.9797702087286195,-4.003404752657667,
2017-05-25,212.046,52.3735,210.2378990254745,51.88756556709029,212.25826856666518,210.32602783213358,-0.21226856666518046,-0.0881288066590784,0.32540634149586933,-3.976340435399066,-4.003402773292173,
