tag,count
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,52
PurchasePricePerCommonStock,51
SalesReturnReserveCurrent,51
ShareBasedCompensationArrangementByShareBasedPaymentAwardDividedEquallyInNumberOfTranches,51
NumberOfReportableSegments,51
ForeignCurrencyTransactionGainLossBeforeTax,51
DebtInstrumentConvertibleThresholdConsecutiveTradingDays1,50
NumberOfOperatingSegments,50
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtHedge,49
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,49
NoteHedgesNumberOfSharesContractedToBuy,49
AccruedWarrantyReserveCurrentPortion,48
FinanceLeaseRightOfUseAsset,48
ProceedsFromRepaymentsOfSecuredDebt,48
AccruedEnvironmentalLossContingenciesNoncurrent,48
IncreaseDecreaseInContractWithCustomerLiabilityCustomerDeposits,48
ReclassificationsOfTemporaryEquityToEquityComponentOfDebtInstrument,47
DebtDiscountPercentage,47
OtherComprehensiveIncomeLossNetOfTax,47
CostOfServices,47
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,47
FiniteLivedIntangibleAssetsFairValueDisclosure,46
RestrictedCashAndCashEquivalentsAtCarryingValue,46
CustomerDepositsCurrent,46
FinancingReceivableAllowanceForCreditLosses,45
PaymentsForSolarEnergySystemsNetOfSales,45
OtherAccruedLiabilitiesCurrent,45
GainLossOnSaleOfPropertyPlantEquipment,45
ConvertibleNotesPayable,45
StockIssuedDuringPeriodValueWithheldForEmployeeTaxes,44
CapitalLeaseObligationsNoncurrent,44
StockIssuedDuringPeriodValueStockOptionsExercised,44
DerivativeNotionalAmount,44
DeferredRentCreditNoncurrent,44
AccountsAndNotesReceivableNet,44
ContractWithCustomerLiabilityRevenueRecognizedOutOfPriorPeriodBalance,43
DerivativeFairValueOfDerivativeLiability,43
CostOfGoodsSoldSalesTypeLease,43
DebtInstrumentUnamortizedDiscount,43
StockholdersEquityNoteStockSplitConversionRatio1,43
LeasedAssetsGross,43
AdditionalPaidInCapital,43
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,43
SalesTypeLeaseRevenue,43
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,42
IncreaseDecreaseInOtherNoncurrentAssets,42
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,42
DebtConversionOriginalDebtAmount1,42
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,42
DeferredIncomeTaxAssetsNet,42
InventoryWorkInProcess,42
InventoryRawMaterials,42
InventoryFinishedGoods,42
OtherInventoriesSpareParts,42
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,42
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,42
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,42
IncomeTaxesPaid,42
DeferredForeignIncomeTaxExpenseBenefit,42
CurrentStateAndLocalTaxExpenseBenefit,42
CurrentIncomeTaxExpenseBenefit,42
CurrentForeignTaxExpenseBenefit,42
UnrealizedGainLossOnInvestments,42
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,42
NonCashEstimatedFairMarketValueOfManufacturingFacility,41
IncomeTaxReconciliationStateAndLocalIncomeTaxes,41
IncomeTaxReconciliationTaxCredits,41
ReclassificationsOfPermanentEquityToTemporaryEquity,41
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,40
ContractWithCustomerAssetAndLiabilityRevenueRecognizedInNextRollingTwelveMonths,40
DerivativeLiabilityFairValueGrossAsset,40
EarningsPerShareBasicAndDiluted,39
ForeignCurrencyTransactionGainLossUnrealized,39
AssetsToBeLeasedCIP,39
ForeignCurrencyTransactionGainLossRealized,39
LongTermDebtNoncurrent,39
TemporaryEquityCarryingAmountAttributableToParent,39
CapitalLeasedAssetsGross,38
PaymentsOfFinancingCosts,38
PercentageOfPrincipalAmountOfConvertibleNotesIsEqualToRepurchasePrice,38
LongTermDebtAndCapitalLeaseObligationsCurrent,36
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,36
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,36
ConstructionInProgressGross,36
DeferredTaxAssetsNet,36
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,36
LongTermDebtAndCapitalLeaseObligations,36
SalesReturnReserveNoncurrent,36
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,35
DeferredTaxAssetsValuationAllowance,35
GrossMargin,35
SalesTypeLeaseUnearnedInterestIncome,35
SalesTypeLeaseLeaseReceivable,35
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,35
UnamortizedDebtIssuanceExpense,34
EffectOfExchangeRateOnCashAndCashEquivalents,34
StockholdersEquityOther,34
PaymentsToAcquireMarketableSecurities,34
MaximumRepurchasePriceOfVehiclesUnderResaleValueArrangement,34
SalesTypeLeaseNetInvestmentInLeaseAllowanceForCreditLoss,34
CommonStockPublicOfferingIssuanceCosts,34
TemporaryEquityDistributionsToNoncontrollingInterests,33
InitialMarketCapitalization,33
TemporaryEquityNetIncome,33
DebtIssuanceCosts,33
IncreaseDecreaseInAccountsPayable,32
DebtInstrumentRedemptionPricePercentage,32
DirectCostsOfLeasedAndRentedPropertyOrEquipment,32
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,32
DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,32
NumberOfCustomersRepresentAccountReceivableThresholdPercentage,32
ConvertibleSeniorNotesIssueToRelatedParties,32
IncreaseDecreaseInAccruedLiabilities,32
AmortizationOfFinancingCostsAndDiscounts,32
UnrealizedGainLossOnDerivatives,31
PaymentsToAcquireInvestments,31
FinancingObligationNoncurrent,31
FinanceLeaseAccumulatedDepreciation,30
ValuationAllowanceDeferredTaxAssetChangeInAmount,30
GovernmentGrantReceipt,30
MarketableSecuritiesUnrealizedGainLoss,30
LeaseAssetDirectCostsRelatedToAcquisition,30
StockIssuedDuringPeriodConcurrentPrivatePlacementsValueNewIssues,30
ProceedsFromSaleMaturityAndCollectionsOfInvestments,30
ProductWarrantyAccrualClassifiedCurrent,30
RepaymentsOfConvertibleDebt,30
FinanceLeaseRightOfUseAssetsBeforeAccumulatedDepreciation,30
OperatingLeaseLiability,29
ImpairmentOfIntangibleAssetsExcludingGoodwill,29
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,29
OperationalMilestoneBasedOnAdjustedEBITDATwo,29
LongTermAccountsNotesAndLoansReceivableNetNoncurrent,29
SalesReturnReserveFromShortTermBuyBackOptions,28
SalesReturnReserveFromBuybackOptions,28
CommonStockOfferingPricePerShare,28
IncreaseDecreaseInResaleValueGuaranteeFromDepreciationExpenseOfEarlyCancellation,28
CapitalLeasesBalanceSheetAssetsByMajorClassNet,28
ResaleValueGuaranteeLeaseRevenueRecognized,28
OperationalMilestoneBasedOnAdjustedEBITDAOne,28
DeferredTaxAssetsOperatingLossCarryforwards,28
LossContingencyDamagesSoughtValue,28
DeferredTaxAssetsDeferredIncome,28
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,28
IncreaseDecreaseInRestrictedCashAndCashEquivalents,28
IncreaseDecreaseInDeferredRevenueAndReclassificationOfCollateralizedBorrowingFromLongTermToShortTerm,28
IncreaseDecreaseInDeferredRevenueFromAmortizationOfDeferredRevenue,28
IncreaseDecreaseInDeferredRevenueFromDepreciationExpenseOfEarlyCancellationOfResaleValueGuarantee,28
OperatingLossCarryforwards,28
ExtendedWarrantyCoverageVehicleMileage,28
SalesRevenueEnergyServices,28
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLoss,28
IncreaseDecreaseInPropertySubjectToOrAvailableForOperatingLeaseGrossFromDepreciationExpenseOfAutomotiveSales,28
StockIssuedDuringPeriodSharesStockOptionsExercised,28
IncreaseDecreaseInPropertySubjectToOrAvailableForOperatingLeaseGrossFromDepreciationExpenseOfEarlyCancellationOfResaleValueGuarantee,28
DefinedContributionPlanEmployerDiscretionaryContributionAmount,27
MarketableSecurities,27
LossContingencyDamagesAwardedValue,27
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,27
ProceedsFromSalesOfDigitalAssets,27
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,27
CurrentFederalTaxExpenseBenefit,27
IncomeLossFromContinuingOperationsBeforeIncomeTaxesAttributableToNoncontrollingInterestAndRedeemableNoncontrollingInterest,27
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,27
ProceedsFromSecuredNotesPayable,26
ProceedsFromIssuanceOfDebt,26
LeasedAssetsAccumulatedDepreciationAndAmortization,26
DeferredTaxAssetsGross,26
DeferredTaxAssetsTaxCreditCarryforwardsOther,26
OtherNoncashIncomeExpense,26
DueToRelatedPartiesCurrent,26
ReclassificationFromLongTermToShortTermCollateralizedBorrowing,26
AvailableForSaleSecuritiesAmortizedCost,25
RepaymentsOfLongTermDebt,25
NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,25
BuildToSuitLeaseLiabilityNoncurrent,25
ChangesInFairValueOfConvertibleCommonStockWarrantLiability,25
FinanceLeaseLiability,25
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,24
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,24
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,24
DeferredTaxAssetsInventory,24
DeferredTaxLiabilitiesPropertyPlantAndEquipment,24
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,24
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,24
ResaleValueGuaranteesCurrentPortionSalesToCustomers,24
InterestPaidNet,24
IncomeTaxReconciliationNondeductibleExpense,24
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,24
PaymentsToAcquireIntangibleAssets,24
FinanceLeaseRightOfUseAssetAmortization,23
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,23
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,23
VariableInterestEntityConsolidatedCarryingAmountLiabilities,23
DeferredTaxLiabilitiesOther,23
LineOfCredit,23
NumberOfWhollyOwnedSubsidiariesReceivedRemainingCashDistributions,23
DeferredFederalIncomeTaxExpenseBenefit,23
FairMarketValueOfIntangibleAssets,23
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,23
FinanceLeaseExpense,23
FinanceLeaseInterestExpense,23
LeaseCost,23
NumberOfCommonSharesReceived,23
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,22
BusinessCombinationConsiderationTransferred1,22
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,22
LeaseAssetsPendingInterconnection,22
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,22
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,22
IndefiniteLivedIntangibleAssetsOtherAdjustments,22
LettersOfCreditOutstandingAmount,22
LeaseAssetsInService,22
OtherSundryLiabilitiesNoncurrent,22
OtherIntangibleAssetsNet,22
AmortizationOfDebtDiscountLessCapitalizedInterest,22
OtherAssetsMiscellaneousNoncurrent,22
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,22
DeferredIncomeTaxLiabilities,22
CostOfServicesEnergyServices,22
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,22
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,22
ForeignCurrencyContractsLiabilityFairValueDisclosure,22
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,22
LeasedAssetsNetBeforeConstructionAndPendingInterconnection,22
ProductWarrantyAccrualNoncurrent,22
WeightedAverageNumberOfSharesOutstandingBasicAndDilutedOne,22
PledgedAssetsSeparatelyReportedOnStatementOfFinancialPositionAtFairValue,22
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,22
ProceedsFromSaleOfShortTermInvestments,21
GoodwillImpairmentLoss,21
EffectiveIncomeTaxRateContinuingOperations,21
PaymentsToAcquireOtherIndefiniteLivedIntangibleAssets,21
OperationalMilestoneBasedOnRevenueFive,21
OperationalMilestoneBasedOnRevenueEight,21
OperationalMilestoneBasedOnAdjustedEBITDASix,21
ProceedsFromIssuanceOfPrivatePlacement,21
OperationalMilestoneBasedOnAdjustedEBITDAThree,21
DueToRelatedPartiesCurrentAndNoncurrent,21
OperatingLeasesRentExpenseNet,21
OperationalMilestoneBasedOnRevenueFour,21
WarrantsSettlementShares,21
FinanceLeaseInterestPaymentOnLiability,21
OperationalMilestoneBasedOnRevenueSeven,21
NumberOfOperationalMilestonesFocusedOnRevenueTargets,21
NumberOfOperationalMilestonesFocusedOnAdjustedEBITDA,21
OperationalMilestoneBasedOnAdjustedEBITDAFive,21
DeferredStateAndLocalIncomeTaxExpenseBenefit,21
OperationalMilestoneBasedOnRevenueSix,21
GainLossOnDispositionOfAssets1,21
RestrictedCashAndInvestmentsCurrent,21
InterestPaid,21
OperatingLeasePayments,21
IntangibleAssetsAndLiabilitiesOther,21
OperationalMilestoneBasedOnRevenueOne,21
IncomeTaxReconciliationOtherReconcilingItems,21
ContractualObligation,21
OperationalMilestoneBasedOnAdjustedEBITDAFour,21
TemporaryEquityBuyOutOfNoncontrollingInterests,21
OperationalMilestoneBasedOnRevenueThree,21
LongTermDebtCurrent,21
OperationalMilestoneBasedOnRevenueTwo,21
OperationalMilestoneBasedOnAdjustedEBITDASeven,21
OperationalMilestoneBasedOnAdjustedEBITDAEight,21
PurchaseOfDigitalAssets,20
ConvertibleDebtCurrent,20
InterestExpenseNonoperating,20
AutomotiveCostOfRevenues,20
GainLossOnDigitalAssets,20
CapitalLeaseObligations,20
WarrantyCoverageVehicleMileage,20
DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,20
DepositLiabilitiesAccruedInterest,20
AutomotiveLeasing,19
NumberOfConsolidatedActions,19
IncreaseToMarketCapitalizationForEachRemainingMilestone,19
RepaymentsOfRelatedPartyDebt,19
